560,-8271,280,635,6850000,2
393,-14222,621,118,99300000,2
497,-12914,730,211,87200000,2
436,-10951,633,625,49200000,2
1450,-3877,260,997,1740000,2
297,-7988,602,694,30800000,2
621,-5101,454,891,229000,2
381,-9934,353,348,37600000,2
271,-4144,712,709,24200000,2
305,-6799,527,606,1340000,2
420,-9055,554,429,52200000,2
257,-8368,403,394,42600000,2
371,-7447,728,626,1210000,2
337,-3113,371,601,27700000,2
324,-14984,508,151,98600000,2
320,-14209,581,333,94400000,2
449,-13139,648,651,74100000,2
571,-13627,281,725,17300000,2
283,-5721,493,716,8270000,2
372,-5343,522,811,2630000,2
534,-6946,679,367,85700000,2
747,-13065,509,326,4050000,2
382,-6281,493,857,8080000,2
357,-3877,561,720,9950000,2
796,-11598,352,744,556000,2
443,-13075,658,420,36300000,2
365,-11352,565,526,3390000,2
385,-7764,322,519,8030000,2
500,-6348,459,634,58000000,2
487,-13622,821,376,66900000,2
409,-6454,810,511,7780000,2
404,-8368,588,711,11800000,2
290,-5493,629,697,18000000,2
442,-11698,586,382,66400000,2
619,-7838,721,458,75800000,2
386,-8790,739,669,2740000,2
1080,-8446,572,634,33200000,2
373,-10496,302,510,16400000,2
455,-9846,526,710,66200000,2
393,-10462,529,594,55700000,2
516,-5060,329,887,33100000,2
320,-4621,693,683,11100000,2
307,-7091,609,617,9940000,2
474,-5351,379,830,198000,2
318,-6577,532,685,2080000,2
252,-3967,634,491,65900000,2
621,-4812,731,892,12800000,2
269,-11052,599,295,84900000,2
358,-2913,491,695,54800000,2
456,-9110,608,458,78300000,2
272,-8558,612,526,72700000,2
328,-8934,285,613,11300000,2
569,-4968,479,802,4180000,2
312,-8899,798,482,72200000,2
430,-9369,789,377,32600000,2
621,-11640,624,260,90400000,2
385,-10211,554,445,67400000,2
520,-7602,629,456,13800000,2
266,-9062,582,469,38700000,2
824,-13624,246,565,5600,2
298,-11948,469,437,48700000,2
337,-7340,569,564,4960000,2
326,-11580,614,766,58800000,2
286,-8452,469,445,68200000,2
1000,-4500,469,917,29100,2
273,-6919,724,701,3500000,2
914,-13339,686,452,54000000,2
341,-8435,610,506,3320000,2
1640,-7167,284,825,24600000,2
1890,-10411,515,480,65500000,2
321,-18825,393,132,7760000,2
281,-6825,674,318,98000000,2
375,-11708,565,266,89700000,2
545,-5373,598,853,13200000,2
686,-4673,471,944,74400,2
2230,-11063,586,401,12800000,2
281,-6016,605,596,20900000,2
659,-6229,643,913,15000000,2
482,-13671,597,715,44600000,2
490,-8346,668,377,61200000,2
302,-13782,678,493,8820000,2
495,-15150,499,302,75200000,2
1120,-21570,779,155,85600000,2
2500,-10912,515,430,81000000,2
385,-15027,480,349,51500000,2
957,-10376,677,720,22400000,2
410,-7338,613,700,7110000,2
499,-8991,667,467,85100000,2
432,-11452,793,519,12200000,2
462,-17999,643,57.4,99300000,2
369,-7143,383,511,16800000,2
268,-7599,762,685,27500000,2
264,-8132,554,727,28500000,2
1260,-5801,465,751,27900000,2
344,-4512,748,704,7410000,2
3320,-13247,708,324,44200000,2
334,-8151,679,569,3600000,2
2520,-22487,727,99.1,89500000,2
1900,-3984,311,775,40400000,2
465,-4943,608,970,1740000,2
507,-8328,669,724,3360000,2
326,-12223,607,159,87900000,2
457,-12014,769,573,24900000,2
632,-6896,272,832,260000,2
346,-7568,644,433,74200000,2
1430,-12587,600,319,73900000,2
353,-11384,842,384,63800000,2
406,-6300,629,748,9240000,2
454,-4265,592,940,22500000,2
325,-3400,794,619,50400000,2
375,-7606,318,586,38300000,2
309,-7470,619,433,64700000,2
1030,-10096,828,376,82500000,2
298,-11211,711,483,43400000,2
365,-5904,352,534,22100000,2
974,-12693,639,219,92700000,2
513,-4033,418,866,381000,2
576,-12781,611,486,79900000,2
300,-10813,398,423,30600000,2
1290,-7491,450,561,82400000,2
367,-7096,660,696,44800000,2
527,-7992,433,603,4060000,2
2170,-9154,501,417,46900000,2
300,-12645,475,519,2140000,2
313,-8922,608,385,80500000,2
507,-11194,566,374,59600000,2
386,-11222,409,391,10300000,2
592,-3661,586,897,23300000,2
231,-5987,641,646,1660000,2
1670,-13079,765,408,9840000,2
1270,-7679,766,458,44500000,2
304,-8788,690,442,8490000,2
1150,-5682,791,673,37500000,2
767,-4479,524,730,62400000,2
331,-6352,874,649,32600000,2
562,-13397,859,244,76500000,2
410,-5665,691,822,67800000,2
726,-14429,683,507,51700000,2
348,-6268,294,611,2260000,2
386,-9985,478,534,48500000,2
561,-4717,505,908,3710,2
607,-12848,561,398,68600000,2
382,-6916,489,889,1510000,2
380,-22557,728,54,91000000,2
292,-10566,485,248,83700000,2
646,-9607,314,756,175000,2
463,-17218,589,116,99400000,2
385,-15957,554,247,81800000,2
957,-10376,677,720,22400000,2
364,-6782,769,716,16900000,2
320,-8820,326,545,72400000,2
440,-8648,599,444,82000000,2
517,-6625,567,765,28200000,2
540,-9105,448,605,8400000,2
535,-24249,558,57,90900000,2
686,-10047,434,771,14200000,2
762,-13100,622,318,34100000,2
278,-7679,719,665,11800000,2
355,-15276,730,235,52700000,2
439,-11612,715,341,37100000,2
445,-7341,462,568,41900000,2
1510,-7961,294,736,28200000,2
426,-4572,543,696,60100000,2
362,-10662,789,380,35800000,2
440,-5196,509,858,1320000,2
397,-9969,629,466,44600000,2
2600,-7227,853,721,26100000,2
340,-8334,679,608,43400000,2
426,-8453,555,694,10100000,2
440,-23179,394,40.6,96800000,2
340,-4331,596,932,94300,2
547,-9546,723,341,51900000,2
1140,-13052,688,226,97400000,2
495,-6157,287,692,3740000,2
407,-13557,357,408,58200,2
326,-6954,585,741,381000,2
396,-7493,486,586,1860000,2
1790,-8963,648,544,34300000,2
292,-6162,477,670,18300,2
328,-7274,375,531,96200000,2
621,-4812,731,892,12800000,2
710,-10765,663,265,88700000,2
432,-13187,613,279,75700000,2
408,-13609,727,292,90600000,2
276,-5924,759,573,38300000,2
584,-10946,837,165,41900000,2
271,-9563,638,738,3150000,2
366,-10743,534,520,14500000,2
304,-12471,546,256,88200000,2
311,-7460,555,669,4590000,2
1720,-4208,258,978,51900,2
2700,-13072,508,430,80600000,2
690,-7047,395,866,11300000,2
375,-11996,746,713,11800000,2
3690,-16374,668,42.3,80500000,2
447,-6862,523,482,70300000,2
856,-7527,310,887,158000,2
455,-15467,506,659,42300000,2
410,-6975,528,563,70600000,2
339,-7097,341,473,38900000,2
642,-4085,618,928,18400000,2
530,-14655,831,104,92400000,2
390,-11019,336,909,20400000,2
326,-9775,721,620,37900000,2
328,-7414,539,582,818000,2
298,-2915,490,847,3800000,2
568,-6857,636,668,74900000,2
693,-10330,566,657,75100000,2
485,-14207,441,455,62000000,2
1280,-2489,477,979,33100000,2
528,-8196,340,807,65700000,2
384,-13675,480,303,81200000,2
421,-7193,451,438,79400000,2
385,-12813,629,230,58500000,2
348,-8699,572,522,58200000,2
376,-8498,665,470,44400000,2
451,-13331,803,335,57900000,2
4460,-13614,545,237,83900000,2
445,-5860,548,716,47100000,2
657,-13163,855,304,89200000,2
3060,-19872,601,79.3,98900000,2
316,-3374,737,929,5620000,2
343,-4780,569,761,3150000,2
338,-5333,725,497,65300000,2
313,-10497,596,405,64300000,2
339,-7682,580,480,83700000,2
1320,-8306,496,646,33100000,2
354,-9895,612,654,7420000,2
358,-4261,624,849,8620000,2
594,-6050,473,913,2000000,2
287,-8057,696,630,38700000,2
1120,-21570,779,155,85600000,2
787,-4849,484,940,8070000,2
696,-13570,617,265,82000000,2
1270,-8018,658,733,44000000,2
508,-10572,676,334,86200000,2
514,-11036,492,574,43600000,2
464,-5541,267,738,4190000,2
708,-13563,746,418,98400000,2
382,-10767,507,328,48400000,2
1030,-9029,257,669,19700000,2
556,-6399,636,941,27200000,2
1020,-6974,475,890,62200000,2
430,-9617,745,436,59700000,2
298,-11211,711,483,43400000,2
701,-5387,404,924,123000,2
1120,-21570,779,155,85600000,2
998,-4043,424,862,26500000,2
435,-9060,272,546,21800000,2
1330,-5483,705,811,27000000,2
357,-4377,558,820,1460000,2
369,-7143,383,511,16800000,2
453,-12993,609,394,21900000,2
698,-15900,654,159,97900000,2
329,-12229,629,278,66200000,2
310,-13970,345,307,83400000,2
526,-15188,665,313,91700000,2
485,-14207,441,455,62000000,2
2990,-11793,622,417,42000000,2
272,-6991,738,507,22900000,2
453,-6989,749,785,15500000,2
849,-4189,715,920,9290000,2
1060,-6373,466,673,30500000,2
948,-16888,850,212,98700000,2
1060,-7974,834,653,9430000,2
321,-13531,680,393,15300000,2
527,-4074,407,723,89400000,2
305,-13498,515,325,76300000,2
843,-4393,233,951,29900,2
383,-7823,798,598,37800000,2
273,-2600,574,599,52900000,2
